ensembl_transcript_id	gene_symbol	ko_0	ko_1	ko_2	ko_3	mean_effect
ENST00000379996.7	CDKL5	0	0.9218579467199999	2.74316253483	0.5291695112499997	1.832510240775
ENST00000453848.6	TMEM132A	0	1.29587623794	1.7962355153799998	0.50734402968	1.5460558766599999
ENST00000371437.4	NDUFA1	0	1.0553590704700002	1.8996057935699997	0.5734496293800002	1.47748243202
ENST00000300433.7	TMEM92	0	1.2218590158900002	1.6824831478900002	0.4588071879000002	1.4521710818900002
ENST00000540534.5	STMN3	0	1.05095939569	1.83671506128	0.1300031961200001	1.443837228485
ENST00000389887.9	GLB1L3	0	1.0290160734100002	1.77964550679	0.42548203663000006	1.4043307901000002
ENST00000366691.3	RHOU	0	1.13099101204	1.6554558998300002	0.5469531105199996	1.393223455935
ENST00000330181.9	SLX1B	0	1.3010281408400002	1.46714132344	0.3818886356000002	1.38408473214
ENST00000406955.5	GAL3ST1	0	1.1675736834499997	1.5210012179599999	0.46181349827999973	1.3442874507049998
ENST00000452975.6	BZW2	0	1.01622567814	1.6389018108800002	0.19880482410999978	1.3275637445100001
ENST00000418109.5	LAMB2	0	0.95455732866	1.6968931726699998	0.36077717260999975	1.325725250665
ENST00000550443.5	MYL6B	0	1.6842246807599999	0.9601489564300003	0.41986643760999964	1.322186818595
ENST00000370461.5	OGFR	0	0.88605325192	1.70399205959	0.5482877890600002	1.295022655755
ENST00000447280.6	SERPINE2	0	0.88965452928	1.6964595391799997	0.2203182954199998	1.2930570342299998
ENST00000557056.5	ADCY4	0	1.2806116692500003	1.27811144092	0.29692833931999996	1.2793615550850002
ENST00000555573.5	KTN1	0	1.26232866427	1.2858300746499998	0.23432428669999972	1.2740793694599999
ENST00000340700.9	KCNK10	0	1.1059983167000003	1.3905659645600001	0.3101406123099999	1.2482821406300002
ENST00000371601.4	NPDC1	0	1.053099484	1.44134308344	0.038456261010000325	1.24722128372
ENST00000392744.4	VWA5A	0	1.3876473880400002	1.10205540539	0.3323213462999999	1.2448513967150001
ENST00000443408.6	RCAN1	0	0.9565445160799997	1.5218794566400002	0.54944895671	1.23921198636
ENST00000529275.1	RIC8A	0	1.1776839512400001	1.27956010189	0.5034629878300003	1.228622026565
ENST00000582678.5	ACE	0	1.1027246172800003	1.3233962028900002	-0.026343288989999714	1.2130604100850002
ENST00000371399.5	YIPF1	0	0.8279595015200001	1.59118265139	0.49363144080999977	1.209571076455
ENST00000257963.8	ACVR1B	0	1.02434161646	1.3800196154900002	0.34501338837999995	1.2021806159750001
ENST00000349258.8	THSD1	0	0.93762592125	1.4073620356499998	0.18853425778999977	1.17249397845
ENST00000438731.6	C4orf51	0	0.8594059459900001	1.4545000612899999	0.4382267824899999	1.15695300364
ENST00000288520.9	ASTN2	0	1.21562563733	1.08618132391	0.5921958162499998	1.15090348062
ENST00000244645.7	TCP11	0	0.8974623323900004	1.37668663481	0.37933808138000025	1.1370744836000002
ENST00000298097.7	FBXO33	0	0.9224743878699999	1.3395929506799997	0.1543957268699998	1.1310336692749998
ENST00000409750.5	RGPD8	0	1.09441875776	1.1656348494000002	0.15848564311000013	1.13002680358
ENST00000452291.6	CD1E	0	0.9790935969899999	1.27791566923	0.5425923579799998	1.12850463311
ENST00000304581.8	PLEKHG6	0	1.1760384257399998	1.0543908867200003	0.4137666499899999	1.11521465623
